"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","MD1","OC1","REM","EQD"
"04312099999","2010-08-17T03:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","210,1,N,0015,1","99999,9,9,N","999999,9,N,1","+0009,1","-0030,1","10279,1","99999,9,10236,1","2,1,004,1,+999,9",,"SYN060AAXX  17034 04312 46/// /2103 10009 21030 30236 40279 52004;",
"04312099999","2010-08-17T06:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","090,1,N,0010,1","99999,9,9,N","999999,9,N,1","+0001,1","-0024,1","10287,1","99999,9,10244,1","2,1,008,1,+999,9",,"SYN060AAXX  17064 04312 46/// /0902 10001 21024 30244 40287 52008;",
"04312099999","2010-08-17T09:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","100,1,N,0021,1","99999,9,9,N","999999,9,N,1","+0009,1","-0022,1","10301,1","99999,9,10258,1","2,1,014,1,+999,9",,"SYN060AAXX  17094 04312 46/// /1004 10009 21022 30258 40301 52014;",
"04312099999","2010-08-17T12:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","010,1,N,0015,1","99999,9,9,N","999999,9,N,1","+0004,1","-0017,1","10310,1","99999,9,10267,1","2,1,009,1,+999,9",,"SYN060AAXX  17124 04312 46/// /0103 10004 21017 30267 40310 52009;",
"04312099999","2010-08-17T15:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","260,1,N,0015,1","99999,9,9,N","999999,9,N,1","+0009,1","-0012,1","10310,1","99999,9,10267,1","4,1,000,1,+999,9",,"SYN060AAXX  17154 04312 46/// /2603 10009 21012 30267 40310 54000;",
"04312099999","2010-08-17T18:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","050,1,N,0021,1","99999,9,9,N","999999,9,N,1","+0002,1","-0014,1","10310,1","99999,9,10267,1","4,1,000,1,+999,9",,"SYN060AAXX  17184 04312 46/// /0504 10002 21014 30267 40310 54000;",
"04312099999","2010-08-17T21:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","340,1,N,0010,1","99999,9,9,N","999999,9,N,1","+0017,1","-0024,1","10312,1","99999,9,10269,1","2,1,002,1,+999,9",,"SYN060AAXX  17214 04312 46/// /3402 10017 21024 30269 40312 52002;",
"04312099999","2010-08-18T00:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","120,1,N,0005,1","99999,9,9,N","999999,9,N,1","+0010,1","-0027,1","10308,1","99999,9,10265,1","7,1,004,1,+999,9",,"SYN060AAXX  18004 04312 46/// /1201 10010 21027 30265 40308 57004;",
"04312099999","2010-08-18T03:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","080,1,N,0036,1","99999,9,9,N","999999,9,N,1","+0003,1","-0019,1","10299,1","99999,9,10256,1","7,1,009,1,+999,9",,"SYN060AAXX  18034 04312 46/// /0807 10003 21019 30256 40299 57009;",
"04312099999","2010-08-18T06:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","130,1,N,0015,1","99999,9,9,N","999999,9,N,1","+0015,1","-0003,1","10287,1","99999,9,10244,1","7,1,012,1,+999,9",,"SYN060AAXX  18064 04312 46/// /1303 10015 21003 30244 40287 57012;",
"04312099999","2010-08-18T09:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","190,1,N,0026,1","99999,9,9,N","999999,9,N,1","+0039,1","+0007,1","10277,1","99999,9,10234,1","7,1,010,1,+999,9",,"SYN060AAXX  18094 04312 46/// /1905 10039 20007 30234 40277 57010;",
"04312099999","2010-08-18T12:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","090,1,N,0026,1","99999,9,9,N","999999,9,N,1","+0048,1","-0002,1","10265,1","99999,9,10222,1","7,1,012,1,+999,9",,"SYN060AAXX  18124 04312 46/// /0905 10048 21002 30222 40265 57012;",
"04312099999","2010-08-18T15:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","090,1,N,0046,1","99999,9,9,N","999999,9,N,1","+0040,1","+0001,1","10246,1","99999,9,10203,1","7,1,019,1,+999,9",,"SYN060AAXX  18154 04312 46/// /0909 10040 20001 30203 40246 57019;",
"04312099999","2010-08-18T18:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","110,1,N,0026,1","99999,9,9,N","999999,9,N,1","+0059,1","+0006,1","10231,1","99999,9,10188,1","7,1,015,1,+999,9",,"SYN060AAXX  18184 04312 46/// /1105 10059 20006 30188 40231 57015;",
"04312099999","2010-08-18T21:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","190,1,N,0057,1","99999,9,9,N","999999,9,N,1","+0071,1","+0007,1","10223,1","99999,9,10180,1","7,1,008,1,+999,9",,"SYN060AAXX  18214 04312 46/// /1911 10071 20007 30180 40223 57008;",
"04312099999","2010-08-19T00:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","190,1,N,0051,1","99999,9,9,N","999999,9,N,1","+0055,1","+0004,1","10221,1","99999,9,10178,1","7,1,002,1,+999,9",,"SYN060AAXX  19004 04312 46/// /1910 10055 20004 30178 40221 57002;",
