"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AL1","AY1","AY2","GA1","GF1","MW1","UA1","REM","EQD"
"07029099999","2010-01-08T18:00:00","4","49.35","-0.7666666","73.0","PORT EN BESSIN, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","010000,1,N,1","+9999,9","+9999,9","99999,9",,,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","00,1",,"SYN052AAXX  08184 07029 41/97 8//// 1//// 700// 333 92447;",
"07029099999","2010-01-09T06:00:00","4","49.35","-0.7666666","73.0","PORT EN BESSIN, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","000100,1,N,1","+9999,9","+9999,9","99999,9","06,007,9,1",,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","73,1","M,99,999,9,04,9","SYN058AAXX  09064 07029 41/91 8//// 1//// 773// 333 92441 93107;",
"07029099999","2010-01-09T09:00:00","4","49.35","-0.7666666","73.0","PORT EN BESSIN, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","010000,1,N,1","+9999,9","+9999,9","99999,9",,,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","00,1",,"SYN052AAXX  09094 07029 41/97 7//// 1//// 700// 333 92457;",
"07029099999","2010-01-09T12:00:00","4","49.35","-0.7666666","73.0","PORT EN BESSIN, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","004000,1,N,1","+9999,9","+9999,9","99999,9",,,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","71,1",,"SYN052AAXX  09124 07029 41/96 8//// 1//// 771// 333 92456;",
"07029099999","2010-01-09T15:00:00","4","49.35","-0.7666666","73.0","PORT EN BESSIN, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","004000,1,N,1","+9999,9","+9999,9","99999,9",,,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","00,1",,"SYN052AAXX  09154 07029 41/96 8//// 1//// 700// 333 92446;",
"07029099999","2010-01-09T18:00:00","4","49.35","-0.7666666","73.0","PORT EN BESSIN, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","004000,1,N,1","+9999,9","+9999,9","99999,9",,,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","00,1",,"SYN052AAXX  09184 07029 41/96 8//// 1//// 700// 333 92446;",
"07029099999","2010-01-10T06:00:00","4","49.35","-0.7666666","73.0","PORT EN BESSIN, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","001000,1,N,1","+9999,9","+9999,9","99999,9",,,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","00,1",,"SYN052AAXX  10064 07029 41/94 8//// 1//// 700// 333 92434;",
"07029099999","2010-01-10T09:00:00","4","49.35","-0.7666666","73.0","PORT EN BESSIN, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","002000,1,N,1","+9999,9","+9999,9","99999,9",,,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","00,1",,"SYN052AAXX  10094 07029 41/95 8//// 1//// 700// 333 92425;",
"07029099999","2010-01-10T12:00:00","4","49.35","-0.7666666","73.0","PORT EN BESSIN, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","010000,1,N,1","+9999,9","+9999,9","99999,9",,,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","00,1",,"SYN052AAXX  10124 07029 41/97 8//// 1//// 700// 333 92427;",
"07029099999","2010-01-10T15:00:00","4","49.35","-0.7666666","73.0","PORT EN BESSIN, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","004000,1,N,1","+9999,9","+9999,9","99999,9",,,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","00,1",,"SYN052AAXX  10154 07029 41/96 8//// 1//// 700// 333 92436;",
"07029099999","2010-01-11T06:00:00","4","49.35","-0.7666666","73.0","PORT EN BESSIN, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","004000,1,N,1","+9999,9","+9999,9","99999,9",,,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","00,1",,"SYN052AAXX  11064 07029 41/96 8//// 1//// 700// 333 92426;",
"07029099999","2010-01-11T09:00:00","4","49.35","-0.7666666","73.0","PORT EN BESSIN, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","004000,1,N,1","+9999,9","+9999,9","99999,9",,,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","00,1",,"SYN052AAXX  11094 07029 41/96 8//// 1//// 700// 333 92426;",
