"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","MD1","OC1","REM","EQD"
"04208099999","2010-01-07T12:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","250,1,N,0026,1","99999,9,9,N","999999,9,N,1","-0187,1","-0190,1","10169,1","99999,9,10115,1","7,1,014,1,+999,9",,"SYN060AAXX  07124 04208 46/// /2505 11187 21190 30115 40169 57014;",
"04208099999","2010-01-07T15:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","270,1,N,0046,1","99999,9,9,N","999999,9,N,1","-0194,1","-0197,1","10163,1","99999,9,10109,1","7,1,006,1,+999,9",,"SYN060AAXX  07154 04208 46/// /2709 11194 21197 30109 40163 57006;",
"04208099999","2010-01-07T18:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","260,1,N,0072,1","99999,9,9,N","999999,9,N,1","-0219,1","-0222,1","10165,1","99999,9,10110,1","2,1,001,1,+999,9",,"SYN060AAXX  07184 04208 46/// /2614 11219 21222 30110 40165 52001;",
"04208099999","2010-01-07T21:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","280,1,N,0082,1","99999,9,9,N","999999,9,N,1","-0225,1","-0229,1","10161,1","99999,9,10106,1","7,1,004,1,+999,9",,"SYN060AAXX  07214 04208 46/// /2816 11225 21229 30106 40161 57004;",
"04208099999","2010-01-08T00:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","300,1,N,0057,1","99999,9,9,N","999999,9,N,1","-0237,1","-0241,1","10160,1","99999,9,10105,1","7,1,001,1,+999,9",,"SYN060AAXX  08004 04208 46/// /3011 11237 21241 30105 40160 57001;",
"04208099999","2010-01-08T03:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","280,1,N,0057,1","99999,9,9,N","999999,9,N,1","-0246,1","-0251,1","10159,1","99999,9,10104,1","7,1,001,1,+999,9",,"SYN060AAXX  08034 04208 46/// /2811 11246 21251 30104 40159 57001;",
"04208099999","2010-01-08T06:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","330,1,N,0026,1","99999,9,9,N","999999,9,N,1","-0251,1","-0256,1","10155,1","99999,9,10100,1","7,1,004,1,+999,9",,"SYN060AAXX  08064 04208 46/// /3305 11251 21256 30100 40155 57004;",
"04208099999","2010-01-08T09:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","290,1,N,0026,1","99999,9,9,N","999999,9,N,1","-0255,1","-0260,1","10140,1","99999,9,10085,1","7,1,015,1,+999,9",,"SYN060AAXX  08094 04208 46/// /2905 11255 21260 30085 40140 57015;",
"04208099999","2010-01-08T12:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","310,1,N,0031,1","99999,9,9,N","999999,9,N,1","-0256,1","-0261,1","10122,1","99999,9,10067,1","7,1,018,1,+999,9",,"SYN060AAXX  08124 04208 46/// /3106 11256 21261 30067 40122 57018;",
"04208099999","2010-01-08T15:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","330,1,N,0051,1","99999,9,9,N","999999,9,N,1","-0251,1","-0256,1","10105,1","99999,9,10050,1","7,1,017,1,+999,9",,"SYN060AAXX  08154 04208 46/// /3310 11251 21256 30050 40105 57017;",
"04208099999","2010-01-08T18:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","330,1,N,0051,1","99999,9,9,N","999999,9,N,1","-0250,1","-0255,1","10089,1","99999,9,10034,1","7,1,016,1,+999,9",,"SYN060AAXX  08184 04208 46/// /3310 11250 21255 30034 40089 57016;",
