"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","MD1","OC1","REM","EQD"
"04253099999","2010-01-07T21:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","340,1,N,0062,1","99999,9,9,N","999999,9,N,1","+0003,1","-0007,1","09985,1","99999,9,09958,1","7,1,040,1,+999,9",,"SYN060AAXX  07214 04253 46/// /3412 10003 21007 39958 49985 57040;",
"04253099999","2010-01-08T00:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","340,1,N,0046,1","99999,9,9,N","999999,9,N,1","+0012,1","-0016,1","09946,1","99999,9,09920,1","7,1,038,1,+999,9",,"SYN060AAXX  08004 04253 46/// /3409 10012 21016 39920 49946 57038;",
"04253099999","2010-01-08T03:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","340,1,N,0051,1","99999,9,9,N","999999,9,N,1","+0012,1","-0004,1","09901,1","99999,9,09875,1","7,1,045,1,+999,9",,"SYN060AAXX  08034 04253 46/// /3410 10012 21004 39875 49901 57045;",
"04253099999","2010-01-08T06:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","330,1,N,0072,1","99999,9,9,N","999999,9,N,1","+0008,1","+0000,1","09875,1","99999,9,09849,1","7,1,026,1,+999,9",,"SYN060AAXX  08064 04253 46/// /3314 10008 20000 39849 49875 57026;",
"04253099999","2010-01-08T09:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","310,1,N,0026,1","99999,9,9,N","999999,9,N,1","+0009,1","+0004,1","09863,1","99999,9,09837,1","7,1,012,1,+999,9",,"SYN060AAXX  08094 04253 46/// /3105 10009 20004 39837 49863 57012;",
"04253099999","2010-01-08T12:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","200,1,N,0021,1","99999,9,9,N","999999,9,N,1","+0006,1","+0003,1","09873,1","99999,9,09847,1","2,1,010,1,+999,9",,"SYN060AAXX  08124 04253 46/// /2004 10006 20003 39847 49873 52010;",
"04253099999","2010-01-08T15:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","320,1,N,0015,1","99999,9,9,N","999999,9,N,1","+0003,1","+0000,1","09876,1","99999,9,09850,1","2,1,003,1,+999,9",,"SYN060AAXX  08154 04253 46/// /3203 10003 20000 39850 49876 52003;",
"04253099999","2010-01-08T18:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","060,1,N,0031,1","99999,9,9,N","999999,9,N,1","+0009,1","+0004,1","09869,1","99999,9,09843,1","7,1,007,1,+999,9",,"SYN060AAXX  08184 04253 46/// /0606 10009 20004 39843 49869 57007;",
"04253099999","2010-01-08T21:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","350,1,N,0026,1","99999,9,9,N","999999,9,N,1","+0009,1","+0006,1","09870,1","99999,9,09844,1","2,1,001,1,+999,9",,"SYN060AAXX  08214 04253 46/// /3505 10009 20006 39844 49870 52001;",
"04253099999","2010-01-09T00:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","310,1,N,0021,1","99999,9,9,N","999999,9,N,1","+0015,1","+0012,1","09876,1","99999,9,09850,1","2,1,006,1,+999,9",,"SYN060AAXX  09004 04253 46/// /3104 10015 20012 39850 49876 52006;",
