"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","MD1","OC1","REM","EQD"
"04382099999","2010-01-18T12:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","350,1,N,0093,1","99999,9,9,N","999999,9,N,1","-0034,1","-0051,1","09945,1","99999,9,09896,1","2,1,010,1,+999,9",,"SYN060AAXX  18124 04382 46/// /3518 11034 21051 39896 49945 52010;",
"04382099999","2010-01-18T15:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","330,1,N,0139,1","99999,9,9,N","999999,9,N,1","-0023,1","-0044,1","09940,1","99999,9,09892,1","7,1,004,1,+999,9",,"SYN060AAXX  18154 04382 46/// /3327 11023 21044 39892 49940 57004;",
"04382099999","2010-01-18T18:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","340,1,N,0134,1","99999,9,9,N","999999,9,N,1","-0021,1","-0062,1","09934,1","99999,9,09886,1","7,1,006,1,+999,9",,"SYN060AAXX  18184 04382 46/// /3426 11021 21062 39886 49934 57006;",
"04382099999","2010-01-18T21:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","340,1,N,0154,1","99999,9,9,N","999999,9,N,1","-0029,1","-0057,1","09933,1","99999,9,09884,1","7,1,002,1,+999,9",,"SYN060AAXX  18214 04382 46/// /3430 11029 21057 39884 49933 57002;",
"04382099999","2010-01-19T00:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","340,1,N,0154,1","99999,9,9,N","999999,9,N,1","-0035,1","-0072,1","09912,1","99999,9,09863,1","7,1,021,1,+999,9",,"SYN060AAXX  19004 04382 46/// /3430 11035 21072 39863 49912 57021;",
"04382099999","2010-01-19T03:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","350,1,N,0123,1","99999,9,9,N","999999,9,N,1","-0033,1","-0065,1","09883,1","99999,9,09835,1","7,1,028,1,+999,9",,"SYN060AAXX  19034 04382 46/// /3524 11033 21065 39835 49883 57028;",
"04382099999","2010-01-19T06:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","350,1,N,0134,1","99999,9,9,N","999999,9,N,1","-0036,1","-0070,1","09845,1","99999,9,09797,1","7,1,038,1,+999,9",,"SYN060AAXX  19064 04382 46/// /3526 11036 21070 39797 49845 57038;",
"04382099999","2010-01-19T09:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","340,1,N,0159,1","99999,9,9,N","999999,9,N,1","-0038,1","-0039,1","09806,1","99999,9,09758,1","7,1,039,1,+999,9",,"SYN060AAXX  19094 04382 46/// /3431 11038 21039 39758 49806 57039;",
"04382099999","2010-01-19T12:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","340,1,N,0154,1","99999,9,9,N","999999,9,N,1","-0015,1","-0016,1","09770,1","99999,9,09723,1","7,1,035,1,+999,9",,"SYN060AAXX  19124 04382 46/// /3430 11015 21016 39723 49770 57035;",
"04382099999","2010-01-19T15:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","350,1,N,0180,1","99999,9,9,N","999999,9,N,1","-0008,1","-0008,1","09756,1","99999,9,09709,1","7,1,014,1,+999,9",,"SYN060AAXX  19154 04382 46/// /3535 11008 21008 39709 49756 57014;",
"04382099999","2010-01-19T18:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","340,1,N,0134,1","99999,9,9,N","999999,9,N,1","-0009,1","-0010,1","09743,1","99999,9,09696,1","7,1,013,1,+999,9",,"SYN060AAXX  19184 04382 46/// /3426 11009 21010 39696 49743 57013;",
"04382099999","2010-01-19T21:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","010,1,N,0185,1","99999,9,9,N","999999,9,N,1","-0004,1","-0005,1","09762,1","99999,9,09715,1","2,1,019,1,+999,9",,"SYN060AAXX  19214 04382 46/// /0136 11004 21005 39715 49762 52019;",
